Układ,Organ / Tkanka,Funkcja biologiczna,Konflikt biologiczny (DHS),Objawy faza aktywna (KA),Objawy faza zdrowienia (PCL),Biologiczny sens zmiany
Układ pokarmowy,Jama ustna i język,"Rozpoczęcie trawienia, gryzienie, połykanie",Nie móc ugryźć lub połknąć kęsa życia,"Suchość w ustach, brak apetytu, napięcie w jamie ustnej","Stany zapalne jamy ustnej, afty, obrzęki, nadwrażliwość",Przygotowanie do przeżycia przez możliwość przyjęcia kęsa
Układ pokarmowy,Ślinianki,Wydzielanie śliny i enzymów trawiennych,Brak możliwości przygotowania do przyjęcia kęsa,"Zmniejszona produkcja śliny, napięcie gruczołów ślinowych","Zapalenie ślinianek, obrzęki, ropienie",Produkcja enzymów do strawienia kęsa w kryzysowej sytuacji
Układ pokarmowy,Przełyk,Transport pokarmu do żołądka,"Niemożność przesunięcia kęsa dalej, strach przed połknięciem czegoś trudnego w życiu","Skurcze przełyku, trudności z połykaniem, brak bólu w aktywnej fazie","Zapalenie przełyku, ból przy połykaniu, refluks",Umożliwia przesunięcie kęsa lub jego odrzucenie
Układ pokarmowy,Żołądek,"Trawienie pokarmu, rozkład białek","Niemożność strawienia kęsa życia, coś trudne do zaakceptowania","Nadprodukcja kwasu, wrzody żołądka, brak bólu w fazie aktywnej","Bóle, nudności, wymioty, stany zapalne żołądka",Zwiększa zdolność strawienia trudnej sytuacji
Układ pokarmowy,Dwunastnica,"Początek jelita cienkiego, trawienie enzymatyczne",Trudność w przyswojeniu wartości (dosłownie i w przenośni),"Zaburzenia trawienia, biegunki lub zaparcia, brak bólu w fazie aktywnej","Zapalenie dwunastnicy, bóle, skurcze",Pomoc w pełnym przyswojeniu i strawieniu wartości odżywczych i doświadczeń
Układ pokarmowy,Jelito cienkie,Wchłanianie składników odżywczych,"Nieprzyswajanie treści życia, poczucie niedoboru","Upośledzone wchłanianie, chudnięcie, brak bólu w fazie aktywnej","Biegunki, stany zapalne jelit, bóle",Zwiększa powierzchnię wchłaniania i zdolność przyswajania
Układ pokarmowy,Jelito grube,"Wchłanianie wody, formowanie kału","Niemożność pozbycia się czegoś niepotrzebnego, toksycznego w życiu","Brak bólu w fazie aktywnej, spadek apetytu, wychłodzenie kończyn","Biegunki, skurcze, stany zapalne jelita grubego",Umożliwia skuteczne wydalenie i oczyszczenie organizmu
Układ pokarmowy,Wątroba,"Produkcja żółci, metabolizm substancji odżywczych","Strach o przetrwanie, brak wystarczających zasobów (pożywienia, energii)","Bezobjawowo lub nadprodukcja komórek (k+), brak bólu","Zapalenie wątroby, zmęczenie, gorączka",Magazynowanie i dostarczanie energii do przeżycia kryzysu
Układ pokarmowy,Trzustka,Produkcja enzymów trawiennych,"Konflikt strachu i obrzydzenia, problem z asymilacją 'słodyczy życia'",Bezobjawowo lub dyskretne zaburzenia wydzielania enzymów,"Zapalenie trzustki, bóle brzucha, nudności",Produkcja enzymów i insuliny dla przetrwania i strawienia sytuacji
Układ pokarmowy,Pęcherzyk żółciowy,Magazynowanie i wydzielanie żółci,"Brak możliwości kontrolowania przepływu zasobów, gorycz życia",Bezobjawowo w fazie aktywnej,"Zapalenie pęcherzyka, kolki żółciowe, kamienie",Zwiększenie przepływu żółci i oczyszczenie z toksyn
